Project title,Description,Amount ARPA obligated,ARPA funds narrative,Amount city funds budgeted,City funds narrative,ARPA spent by end of 24?,Address,Lat,Lon,City fund sent by end of 24,% ARPA spent by 24,image_url,Subrecipient
Salaries for city employees working on ARPA grants,The U.S. Treasury allows cities to use ARPA funds for costs to administer ARPA projects.,"11,399,055.97",11.4 million,,,"405,560.82",,37.270904333316300,-79.944793830000000,,4%,ARPA-photos/2-admin-costs.jpg,
Market on Melrose,"Support went for a grocery store at Melrose Plaza, a Northwest community hub launched by Goodwill Industries of the Valleys that includes a bank, wellness center and adult high school. The city says the area is a ""food desert"" as classified by the USDA, in which more than 33% of residents live more than one mile from a full-service grocery store.","10,000,000",10 million,,,"10,000,000","2502 Melrose Ave NW, Roanoke, VA 24017",37.285798294596700,-79.977637227845800,,100%,ARPA-photos/3-market-melrose-interior-courtesy.jpg,Goodwill
Eureka Park Recreation Center,Redevelopment of the city-owned recreation center was ranked as the highest need for improvement in the city's parks master plan.,"8,000,000",eight million,"5,000,000",five million,"3,449,854.20","1529 Carroll Ave NW, Roanoke, VA 24017",37.288119643217300,-79.960550279882800,,43%,ARPA-photos/4-Eureka-Park-Rendering.jpg,
Affordable housing and social services,"Habitat for Humanity built or rehabbed 18 homes to be affordable ($4,238,294.34). Total Action for Progress (TAP) received $570,685 to acquire and rehab homes for permanent supportive housing. Projects were focused in the Blemon-Fallon Target Area of Southeast Roanoke.","4,808,979.34",4.8 million,,,"4,808,979.34","37°16'14.9""N 79°55'40.3""W",37.270828596072600,-79.927788592817700,,100%,,
Lost revenue,The cost covers many miscellaneous expenses that the city incurred as a result of the pandemic emergency. The U.S. Treasury provides a calculation but also allows cities to use $10 million for this designation without proving a loss of revenue.,"4,054,308.47",over 4 million,,,"3,929,786.47",,,,,97%,,
In-river kayak park,The project will expand outdoor recreation opportunities. The city says more people than ever sought out such opportunies during the pandemic. ,"3,129,391",3.13 million,"3,032,990",over three million,"374,218.35","37°16'03.2""N 79°57'47.9""W",37.267512214849500,-79.963292361390200,,12%,ARPA-photos/7-kayak-park-rendering.jpg,
New housing for homeless people,The program will create housing units to serve those facing homelessness and provide supportive services. Homelessness numbers increased after the onset of Covid-19.,"2,873,108.81",2.9 million,,,"2,098,162.52",CITYWIDE,,,,73%,,
LEAP food hub,"Funding allowed the Local Environmental Agriculture Project to buy and renovate a West End hub, establishing a grocery market and expanding its food access programs.","2,500,000",2.5 million,,,"2,500,000","1027 Patterson Ave SW, Roanoke, VA 24016",37.272213250523200,-79.960280999621400,,100%,ARPA-photos/9-leap-store.jpg,LEAP
Gainsboro neighborhood upgrades,"Neighborhood upgrades will add bike lanes and pedestrian crossing signals to Gainsboro Road; provide homeowner improvement grants; and create a playground and public space. The city notes the neighborhood was ravaged by urban renewal and, as a low-income area, has been disproportionately impacted by the pandemic. Initial plans for a health clinic and small business development center in Gainsboro were abandoned.","2,341,075",2.3 million,"2,658,925",2.65 million,"41,000","37°16'40.2""N 79°56'30.1""W",37.277815992665700,-79.941662252171900,,2%,ARPA-photos/10-gainsboro.jpg,
MetroFLX,The project extends city bus service by providing on-demand late night and Sunday microtransit. The pandemic prompted a drop-off in those using public transit.,"2,245,243.34",2.25 million,,,"1,915,673.82",CITYWIDE,,,,85%,ARPA-photos/11-metroflx.jpg,GRTC
